unit_order,unit_id,unit_title,source,word_index,seq,jeju,standard,partOfSpeech,eng,soundUrl
1,family,가족과 사람,existing_110,1,702,아방,아버지,noun,father,https://www.jeju.go.kr/api/culture/dialect?dialect=702
1,family,가족과 사람,existing_110,2,713,어멍,어머니,noun,mother,https://www.jeju.go.kr/api/culture/dialect?dialect=713
1,family,가족과 사람,existing_110,3,7568,하르방,할아버지,noun,Grandfather,https://www.jeju.go.kr/api/culture/dialect?dialect=7568
1,family,가족과 사람,existing_110,4,7569,할망,할머니,noun,Grandmother,https://www.jeju.go.kr/api/culture/dialect?dialect=7569
1,family,가족과 사람,existing_110,5,2695,오라방,오빠,noun,brother,https://www.jeju.go.kr/api/culture/dialect?dialect=2695
1,family,가족과 사람,existing_110,6,544,성,형,noun,older brother,https://www.jeju.go.kr/api/culture/dialect?dialect=544
1,family,가족과 사람,existing_110,7,581,아시,동생,noun,younger sister or brother,https://www.jeju.go.kr/api/culture/dialect?dialect=581
1,family,가족과 사람,existing_110,8,2748,조캐,조카,noun,nephew,https://www.jeju.go.kr/api/culture/dialect?dialect=2748
1,family,가족과 사람,existing_110,9,6729,큰아방,큰아버지,noun,The eldest uncle in father side,https://www.jeju.go.kr/api/culture/dialect?dialect=6729
1,family,가족과 사람,existing_110,10,372,각씨,아내,noun,the previous year,https://www.jeju.go.kr/api/culture/dialect?dialect=372
2,body,몸,existing_110,1,2775,가심,가슴,noun,breast,https://www.jeju.go.kr/api/culture/dialect?dialect=2775
2,body,몸,existing_110,2,3139,손콥,손톱,noun,fingernail,https://www.jeju.go.kr/api/culture/dialect?dialect=3139
2,body,몸,existing_110,3,3138,발콥,발톱,noun,toenail,https://www.jeju.go.kr/api/culture/dialect?dialect=3138
2,body,몸,existing_110,4,3089,입바위,입술,noun,lips,https://www.jeju.go.kr/api/culture/dialect?dialect=3089
2,body,몸,existing_110,5,2914,멘손,맨손,noun,hands,https://www.jeju.go.kr/api/culture/dialect?dialect=2914
2,body,몸,existing_110,6,2913,멘발,맨발,noun,feet,https://www.jeju.go.kr/api/culture/dialect?dialect=2913
2,body,몸,existing_110,7,2778,갈리,갈비,noun,rib,https://www.jeju.go.kr/api/culture/dialect?dialect=2778
2,body,몸,existing_110,8,2828,귓밥,귀지,noun,ear wax,https://www.jeju.go.kr/api/culture/dialect?dialect=2828
2,body,몸,existing_110,9,3001,세깍,혀끝,noun,end of tongue,https://www.jeju.go.kr/api/culture/dialect?dialect=3001
2,body,몸,existing_110,10,2917,모감지,멱살,noun,neck fat,https://www.jeju.go.kr/api/culture/dialect?dialect=2917
3,food,음식,existing_110,1,6775,옛,엿,noun,"Yeot, Korean bon bon",https://www.jeju.go.kr/api/culture/dialect?dialect=6775
3,food,음식,existing_110,2,3544,청,꿀,noun,honey,https://www.jeju.go.kr/api/culture/dialect?dialect=3544
3,food,음식,existing_110,3,6747,소곰,소금,noun,Salt,https://www.jeju.go.kr/api/culture/dialect?dialect=6747
3,food,음식,existing_110,4,3451,둠비,두부,noun,tofu,https://www.jeju.go.kr/api/culture/dialect?dialect=3451
3,food,음식,existing_110,5,4300,고치,고추,noun,chilli,https://www.jeju.go.kr/api/culture/dialect?dialect=4300
3,food,음식,existing_110,6,6762,시리떡,시루떡,noun,"Siruddeok, Korean rice cake",https://www.jeju.go.kr/api/culture/dialect?dialect=6762
3,food,음식,existing_110,7,3419,곤죽,쌀죽,noun,rice porridge,https://www.jeju.go.kr/api/culture/dialect?dialect=3419
3,food,음식,existing_110,8,3433,넹수,냉수,noun,water,https://www.jeju.go.kr/api/culture/dialect?dialect=3433
3,food,음식,existing_110,9,3525,조축,조죽,noun,millet porridge,https://www.jeju.go.kr/api/culture/dialect?dialect=3525
3,food,음식,existing_110,10,6750,소쥐,소주,noun,"Soju, Korean distilled liquor",https://www.jeju.go.kr/api/culture/dialect?dialect=6750
4,verbs,움직임 (동사 기초),existing_110,1,6892,놓이다,놓다,verb,Put,https://www.jeju.go.kr/api/culture/dialect?dialect=6892
4,verbs,움직임 (동사 기초),existing_110,2,7144,페우다,펴다,verb,Unfold,https://www.jeju.go.kr/api/culture/dialect?dialect=7144
4,verbs,움직임 (동사 기초),existing_110,3,7085,익다,읽다,verb,Read,https://www.jeju.go.kr/api/culture/dialect?dialect=7085
4,verbs,움직임 (동사 기초),existing_110,4,7073,앚다,앉다,verb,Sit down,https://www.jeju.go.kr/api/culture/dialect?dialect=7073
4,verbs,움직임 (동사 기초),existing_110,5,7071,씨다,쓰다,verb,Use,https://www.jeju.go.kr/api/culture/dialect?dialect=7071
4,verbs,움직임 (동사 기초),existing_110,6,7061,싯다,씻다,verb,Wash,https://www.jeju.go.kr/api/culture/dialect?dialect=7061
